filename,template_title,template_type,page_or_cpt,required_plugin,dynamic_source,recommended_url,theme_builder_condition,manual_steps,status,elements,widgets,responsive_overrides,shortcodes
header.json,سربرگ — کل سایت,header,تمام صفحات,elementor-pro,لوگو و منوی سایت از تنظیمات وردپرس,,Theme Builder → Header → Entire Site,پس از Import: ویجت Nav Menu را باز کنید و منوی اصلی سایت را انتخاب کنید. لوگو در صورت نبود site logo، تصویر جایگزین قرار دهید.,READY — NEEDS DYNAMIC BINDING,22,8,13,
footer.json,پابرگ — کل سایت,footer,تمام صفحات,elementor-pro,اطلاعات تماس از متن قالب,,Theme Builder → Footer → Entire Site,لینک‌های شبکه‌های اجتماعی و اطلاعات تماس را با مقادیر واقعی جایگزین کنید.,READY — NEEDS REAL CONTENT,51,21,11,
section-hero.json,بخش قابل‌استفاده — Hero,section,هر صفحه,elementor,,,ندارد (درج دستی در صفحات),از طریق کتابخانهٔ المنتور در هر صفحه درج شود.,READY,7,3,2,
section-cta.json,بخش قابل‌استفاده — دعوت به اقدام,section,هر صفحه,elementor,,,ندارد (درج دستی در صفحات),از طریق کتابخانهٔ المنتور در هر صفحه درج شود.,READY,9,4,5,
section-empty-state.json,بخش قابل‌استفاده — وضعیت خالی,section,هر صفحه,elementor,,,ندارد (درج دستی در صفحات),برای وضعیت‌های بدون داده در پنل هنرجو استفاده شود.,READY,10,4,4,
section-trust.json,بخش قابل‌استفاده — نوار اعتماد,section,هر صفحه,elementor,,,ندارد (درج دستی در صفحات),متن موارد را با مزایای واقعی کارگاه جایگزین کنید؛ عمداً بدون عدد است.,READY — NEEDS REAL CONTENT,15,6,2,
home.json,خانه,page,صفحهٔ اصلی,elementor + elementor-pro + learndash-lms,LearnDash course list + آخرین نوشته‌ها,/,تنظیم به‌عنوان صفحهٔ اصلی وردپرس,تصویر Hero و تصاویر گالری را جایگزین کنید.,READY — NEEDS REAL CONTENT,251,113,105,ld_course_list
start-here.json,از کجا شروع کنم؟,page,/start-here,elementor,,/start-here,,,READY — NEEDS REAL CONTENT,72,36,41,
about.json,دربارهٔ کارگاه,page,/about,elementor,,/about,,روایت کارگاه و بخش «نسبت فن با سنت» با اطلاعات واقعی تکمیل شود.,READY — NEEDS REAL CONTENT,130,54,48,
contact.json,تماس با ما,page,/contact,elementor + elementor-pro,فرم المنتور پرو (در صورت نصب افزونه نقشه: ویجت نقشه),/contact,,Action After Submit فرم و کلید API نقشه را تنظیم کنید.,READY — NEEDS REAL CONTENT,78,34,20,az_workshop_meta
